City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,czarna bialostocka,53.3051,23.2815,19.9,49,36,2.47,PL,1688843635
123,kalengwa,-13.4659,25.0027,13.71,48,0,2.14,ZM,1688843636
124,lillehammer,61.1146,10.4674,19.22,64,88,0.67,NO,1688843636
125,muli,2.9167,73.5667,27.74,72,13,2.29,MV,1688843637
126,avarua,-21.2078,-159.775,25.03,88,20,3.09,CK,1688843435
127,zalingei,12.9096,23.4741,21.8,79,76,1.7,SD,1688843638
128,luwuk,-0.9516,122.7875,24.52,86,100,2.81,ID,1688843639
129,carnarvon,-24.8667,113.6333,15.89,65,0,6.38,AU,1688843468
130,geraldton,-28.7667,114.6,8.23,93,0,4.63,AU,1688843486
131,vyazemskiy,47.5378,134.7525,18.84,88,1,1.59,RU,1688843475
132,san julian,21.0167,-102.1667,25.23,39,97,2.6,MX,1688843640
133,cuamba,-14.8031,36.5372,18.27,51,37,0.97,MZ,1688843641
134,saint-pierre,-21.3393,55.4781,20.82,60,0,3.6,RE,1688843529
135,narasannapeta,18.4167,84.05,28.81,79,100,2.35,IN,1688843642
136,anadyr,64.75,177.4833,10.28,76,75,5.0,RU,1688843530
137,bodaybo,57.8506,114.1933,15.42,69,100,1.95,RU,1688843644
138,rancho palos verdes,33.7445,-118.387,27.45,75,20,5.66,US,1688843644
139,orapa,-21.2833,25.3667,14.63,40,0,2.1,BW,1688843645
140,ust-nera,64.5667,143.2,14.35,82,100,1.57,RU,1688843411
141,utrik,11.2278,169.8474,27.77,81,100,7.66,MH,1688843438
142,luderitz,-26.6481,15.1594,13.99,68,0,10.59,NA,1688843551
143,mount gambier,-37.8333,140.7667,12.11,84,74,6.34,AU,1688843455
144,punta arenas,-53.15,-70.9167,4.06,75,0,3.09,CL,1688843472
145,awjilah,29.1081,21.2869,31.06,28,0,8.92,LY,1688843648
146,el granada,37.5027,-122.4694,21.61,71,100,10.8,US,1688843649
147,leh,34.1667,77.5833,10.12,89,100,1.86,IN,1688843649
148,duong dong,10.2167,103.9667,27.0,94,40,1.03,VN,1688843650
149,macia,-25.0269,33.0989,20.53,39,5,4.39,MZ,1688843651
150,codrington,-38.2667,141.9667,12.06,84,33,8.95,AU,1688843651
151,margaret river,-33.95,115.0667,14.36,76,100,6.05,AU,1688843478
152,bay harbor,30.1471,-85.6146,32.78,73,75,7.2,US,1688843652
153,usinsk,65.9939,57.5281,10.35,83,100,1.77,RU,1688843653
154,east london,-33.0153,27.9116,14.93,62,4,8.19,ZA,1688843504
155,leninskoye,41.7589,69.3864,22.94,32,0,2.73,KZ,1688843654
156,vilyuysk,63.7553,121.6247,8.45,65,0,2.17,RU,1688843654
157,korla,41.7597,86.1469,28.5,29,100,6.07,CN,1688843551
158,ocana,8.2377,-73.356,25.19,63,100,0.92,CO,1688843372
159,lib,8.3122,167.3766,28.05,81,91,7.74,MH,1688843655
160,tsarevo,42.1667,27.85,20.1,69,85,6.97,BG,1688843656
161,cannonvale,-20.2833,148.7,18.66,67,93,4.9,AU,1688843657
162,port douglas,-16.4833,145.4667,21.76,80,100,5.94,AU,1688843657
163,undurkhaan,47.3194,110.6556,15.88,73,38,0.84,MN,1688843657
164,el bolson,-41.9667,-71.5167,4.46,100,100,1.52,AR,1688843658
165,at taj,24.2049,23.2857,31.06,19,5,4.89,LY,1688843659
166,dunedin,-45.8742,170.5036,9.33,93,100,1.34,NZ,1688843496
167,atafu village,-8.5421,-172.5159,28.24,78,10,8.01,TK,1688843457
168,porto novo,6.4965,2.6036,24.11,91,100,3.87,BJ,1688843661
169,isafjordur,66.0755,-23.124,8.02,93,20,4.12,IS,1688843422
170,labuan,5.2767,115.2417,24.2,94,40,0.0,MY,1688843662
171,quepos,9.4236,-84.1652,29.57,70,95,2.59,CR,1688843662
172,kone,-21.0595,164.8658,18.18,93,77,1.21,NC,1688843493
173,mournies,35.4764,24.0092,28.79,73,20,0.0,GR,1688843663
174,guanare,9.0418,-69.7421,29.2,69,100,1.62,VE,1688843664
175,taoudenni,22.6783,-3.9836,44.39,8,0,3.44,ML,1688843504
176,kununurra,-15.7667,128.7333,21.99,40,31,5.66,AU,1688843665
177,west island,-12.1568,96.8225,25.99,78,40,5.66,CC,1688843438
178,guiyang,26.5833,106.7167,21.98,94,100,3.43,CN,1688843526
179,siguiri,11.6667,-9.5,30.45,52,100,1.94,GN,1688843667
180,oranjemund,-28.55,16.4333,13.78,75,5,4.12,NA,1688843668
181,brasileia,-11.0161,-68.7481,35.08,33,33,2.1,BR,1688843648
182,ugoofaaru,5.6667,73.0,28.11,77,13,4.94,MV,1688843669
183,badger,64.8,-147.5333,14.43,70,75,8.75,US,1688843420
184,mount isa,-20.7333,139.5,8.87,61,5,1.54,AU,1688843550
185,vorkuta,67.5,64.0,10.42,81,99,2.06,RU,1688843671
186,ilhabela,-23.7781,-45.3581,24.64,56,100,1.58,BR,1688843672
187,bayganin,48.6947,55.8742,32.32,18,0,3.4,KZ,1688843672
188,berezovyy,51.6667,135.7,18.13,91,27,0.7,RU,1688843500
189,whangarei,-35.7317,174.3239,13.15,90,95,5.86,NZ,1688843673
190,chibougamau,49.9168,-74.3659,22.11,45,98,1.58,CA,1688843467
191,hengchun,22.0042,120.7439,28.46,80,21,4.24,TW,1688843674
192,greymouth,-42.4667,171.2,10.55,94,100,1.55,NZ,1688843675
193,pangody,65.85,74.4859,13.61,69,100,5.51,RU,1688843675
194,sinabang,2.4803,96.3801,25.47,87,100,4.95,ID,1688843599
195,praia da vitoria,38.7333,-27.0667,19.53,65,18,1.37,PT,1688843457
196,itoman,26.1247,127.6694,28.21,92,20,5.66,JP,1688843673
197,tarko-sale,64.9225,77.785,15.21,76,15,4.4,RU,1688843677
198,palu,-0.8917,119.8707,24.47,96,61,0.88,ID,1688843677
199,mili,6.0815,171.735,28.2,82,100,9.42,MH,1688843532
200,zeya,53.75,127.2667,17.21,74,100,2.36,RU,1688843678
201,east ballina,-28.8667,153.5833,11.42,61,0,4.91,AU,1688843678
202,sargatskoye,55.6101,73.4972,15.75,77,13,3.3,RU,1688843679
203,nadym,65.5333,72.5167,10.97,82,14,5.04,RU,1688843679
204,wenshui,28.4506,106.5267,20.98,95,81,1.22,CN,1688843680
205,cabedelo,-6.9811,-34.8339,28.37,80,55,4.9,BR,1688843680
206,arvayheer,46.2639,102.775,15.33,70,100,0.48,MN,1688843681
207,la passe,45.5549,-0.8967,28.13,75,100,4.43,FR,1688843439
208,plastun,44.7561,136.2939,18.78,85,12,2.04,RU,1688843501
209,puerto san jose,13.9256,-90.8244,30.09,66,50,2.95,GT,1688843682
210,puerto baquerizo moreno,-0.9,-89.6,25.27,75,45,6.78,EC,1688843489
211,cartagena,10.3997,-75.5144,31.79,70,40,3.6,CO,1688843670
212,pacasmayo,-7.4006,-79.5714,24.16,72,8,6.88,PE,1688843684
213,kenai,60.5544,-151.2583,12.05,82,100,7.72,US,1688843552
214,ta`u,-14.2336,-169.5144,27.19,78,100,6.43,AS,1688843441
215,fort mcmurray,56.7268,-111.381,26.77,41,0,4.63,CA,1688843558
216,alice springs,-23.7,133.8833,6.75,81,85,2.66,AU,1688843513
217,maintirano,-18.0667,44.0167,22.91,77,52,1.71,MG,1688843419
218,port mathurin,-19.6833,63.4167,23.6,63,9,10.46,MU,1688843450
219,aral,40.5156,81.2636,26.23,33,100,2.39,CN,1688843439
220,siwa oasis,29.2041,25.5195,34.3,22,0,6.99,EG,1688843687
221,zelenoborskiy,66.845,32.3622,12.37,66,66,2.82,RU,1688843687
222,mount pearl,47.5166,-52.7813,23.51,85,75,3.09,CA,1688843282
223,ha giang,22.8333,104.9833,25.93,98,100,0.9,VN,1688843688
224,villa dolores,-31.9459,-65.1896,20.34,47,1,2.57,AR,1688843689
225,kokstad,-30.5472,29.4241,10.1,49,0,0.96,ZA,1688843425
226,polyarnyy,69.1989,33.4478,6.7,79,90,5.09,RU,1688843441
227,gaspe,48.8334,-64.4819,24.12,73,20,6.17,CA,1688843501
228,bireun,5.203,96.7009,25.04,86,100,0.78,ID,1688843690
229,kailua-kona,19.6406,-155.9956,27.38,82,20,3.09,US,1688843691
230,suwayr,30.1171,40.3893,33.52,16,17,5.7,SA,1688843692
231,flying fish cove,-10.4217,105.6791,24.82,88,100,4.63,CX,1688843490
232,san patricio,28.017,-97.5169,36.76,49,89,6.75,US,1688843480
233,kourou,5.1552,-52.6478,30.03,67,10,3.09,GF,1688843694
234,bethanie,-26.4833,17.15,7.94,59,0,4.89,NA,1688843502
235,camayenne,9.535,-13.6878,27.08,75,100,3.88,GN,1688843487
236,lebu,-37.6167,-73.65,11.38,65,100,4.9,CL,1688843470
237,amursk,50.2261,136.8994,17.39,88,15,3.02,RU,1688843696
238,itaituba,-4.2761,-55.9836,34.09,52,40,3.09,BR,1688843696
239,opuwo,-18.0607,13.84,18.12,27,0,3.63,NA,1688843494
240,nabire,-3.3667,135.4833,24.08,92,100,1.39,ID,1688843554
241,klyuchi,52.2667,79.1667,18.25,74,17,1.75,RU,1688843449
242,tura,25.5198,90.2201,23.9,97,100,2.41,IN,1688843163
243,gunnedah,-30.9833,150.25,5.56,84,0,2.56,AU,1688843699
244,fisterra,42.9049,-9.2629,20.42,78,99,3.76,ES,1688843523
245,urangan,-25.3,152.9,12.72,58,6,4.9,AU,1688843699
246,coronel suarez,-37.4547,-61.9334,9.51,65,100,5.2,AR,1688843700
247,mancora,-4.1078,-81.0475,27.55,65,37,4.82,PE,1688843700
248,iwon-up,40.3231,128.6553,20.99,92,100,2.73,KP,1688843701
249,argostolion,38.1811,20.489,25.04,57,0,6.69,GR,1688843702
250,ipora,-16.4419,-51.1178,31.4,19,39,2.69,BR,1688843470
251,dompu,-8.5356,118.4622,22.62,97,36,1.33,ID,1688843703
252,minzhu,43.7286,127.3447,16.94,92,47,1.15,CN,1688843704
253,vilyuchinsk,52.9306,158.4028,13.15,90,98,1.64,RU,1688843431
254,pokhara,28.2333,83.9833,22.45,87,14,1.64,NP,1688843671
255,saudarkrokur,65.7461,-19.6394,16.64,63,17,1.17,IS,1688843559
256,hotan,37.0997,79.9269,25.94,36,100,1.23,CN,1688843457
257,keflavik,64.0049,-22.5624,18.24,42,0,3.09,IS,1688843431
258,sao joao da barra,-21.6403,-41.0511,27.05,60,4,4.29,BR,1688843479
259,st. john's,47.5649,-52.7093,23.97,86,75,3.09,CA,1688843334
260,pacific grove,36.6177,-121.9166,22.79,75,40,6.26,US,1688843454
261,georgetown,5.4112,100.3354,26.12,83,40,0.0,MY,1688843295
262,novyy urgal,51.0736,132.5642,16.88,88,16,0.41,RU,1688843709
263,vadso,70.0744,29.7487,8.49,76,75,5.66,NO,1688843427
264,san andres,12.5847,-81.7006,32.01,70,40,5.66,CO,1688843449
265,sao vicente,-23.9631,-46.3919,30.1,63,99,4.44,BR,1688843492
266,constantia,44.1833,28.65,18.38,69,100,12.17,RO,1688843485
267,hasaki,35.7333,140.8333,27.22,88,100,8.57,JP,1688843500
268,laguna,38.421,-121.4238,26.84,48,0,5.14,US,1688843555
269,brownfield,33.1812,-102.2744,31.88,33,5,5.19,US,1688843646
270,new norfolk,-42.7826,147.0587,7.72,73,15,5.81,AU,1688843463
271,fada,9.5667,8.3,21.63,93,96,1.88,NG,1688843714
272,gizo,-8.103,156.8419,26.89,85,28,7.35,SB,1688843449
273,udachny,66.4167,112.4,14.98,66,96,2.37,RU,1688843417
274,howrah,22.5892,88.3103,29.0,84,40,3.09,IN,1688843549
275,hamilton,39.1834,-84.5333,25.12,81,100,2.06,US,1688843375
276,alofi,-19.0595,-169.9187,24.76,82,84,5.91,NU,1688843431
277,gamba,-2.65,10.0,21.18,89,100,3.2,GA,1688843717
278,black forest,39.0131,-104.7008,22.8,70,40,8.23,US,1688843718
279,naze,28.3667,129.4833,26.51,89,48,6.02,JP,1688843719
280,richards bay,-28.783,32.0377,19.98,54,6,2.19,ZA,1688843432
281,taulaga,-11.0553,-171.0883,27.59,80,44,7.4,AS,1688843720
282,amahai,-3.3333,128.9167,25.05,92,100,3.84,ID,1688843720
283,wamba,8.9333,8.6,24.72,85,100,1.18,NG,1688843721
284,anadarko,35.0726,-98.2437,30.0,44,1,3.21,US,1688843721
285,taltal,-25.4,-70.4833,17.7,69,14,3.39,CL,1688843420
286,paducah,37.0834,-88.6001,32.47,67,75,4.12,US,1688843665
287,kruisfontein,-34.0033,24.7314,10.49,73,100,10.36,ZA,1688843468
288,buka,40.8108,69.1986,23.62,30,0,0.57,UZ,1688843462
289,mahibadhoo,3.7833,72.9667,27.88,74,2,3.06,MV,1688843724
290,qaqortoq,60.7167,-46.0333,8.29,77,12,2.19,GL,1688843418
291,soto la marina,23.7667,-98.2167,38.89,31,11,7.35,MX,1688843726
292,kayangel,8.0823,134.7173,28.33,75,70,1.93,PW,1688843727
293,punta del este,-34.9667,-54.95,14.06,73,0,5.66,UY,1688843727
294,tabou,4.423,-7.3528,24.99,85,100,4.06,CI,1688843728
295,pontianak,-0.0333,109.3333,24.99,94,100,0.0,ID,1688843728
296,qusmuryn,52.4503,64.6311,21.05,55,67,2.37,KZ,1688843729
297,camara de lobos,32.6333,-16.9667,24.45,90,40,1.03,PT,1688843729
298,cockburn town,21.4612,-71.1419,28.19,76,6,7.32,TC,1688843730
299,dhidhdhoo,6.8833,73.1,28.01,75,39,3.94,MV,1688843730
300,saldanha,-33.0117,17.9442,11.82,67,59,8.59,ZA,1688843731
301,colonia,50.9333,6.95,29.93,42,80,3.17,DE,1688843137
302,kirkwall,58.9848,-2.9587,16.09,82,0,7.2,GB,1688843732
303,garachico,28.7781,-17.7646,22.06,73,40,6.17,ES,1688843732
304,leticia,-4.2153,-69.9406,25.99,100,75,3.09,CO,1688843733
305,iskateley,67.6803,53.1512,5.85,81,100,4.98,RU,1688843442
306,bengkulu,-3.8004,102.2655,24.24,94,27,1.82,ID,1688843734
307,gdynia,54.5189,18.5319,17.73,80,0,2.06,PL,1688843723
308,san pedro pochutla,15.7333,-96.4667,29.84,75,94,1.91,MX,1688843735
309,ciudad lazaro cardenas,17.9583,-102.2,29.55,69,24,3.87,MX,1688843735
310,aguas vermelhas,-15.7472,-41.46,24.28,47,100,3.09,BR,1688843736
311,mejit,10.2753,170.8646,28.07,72,100,9.25,MH,1688843506
312,stephenville,32.2207,-98.2023,35.87,45,0,2.57,US,1688843737
313,san pedro,14.35,121.0167,28.57,85,75,1.79,PH,1688843738
314,idri,27.5,13.2667,32.4,17,0,4.88,LY,1688843739
315,buala,-8.145,159.5921,26.32,86,63,3.58,SB,1688843740
316,san jose de guanipa,8.8872,-64.1651,31.34,47,99,3.7,VE,1688843740
317,kas,36.2018,29.6377,29.35,50,0,2.9,TR,1688843741
318,mazagao,-0.115,-51.2894,30.03,53,50,2.22,BR,1688843741
319,tres palos,18.1833,-101.6167,31.99,50,59,3.34,MX,1688843742
320,hirschau,49.545,11.9508,26.01,36,0,0.0,DE,1688843742
321,manismata,-2.4667,111.0333,22.39,99,90,1.14,ID,1688843743
322,tiganesti,43.9,25.3667,21.38,80,100,2.86,RO,1688843743
323,uturoa,-16.7333,-151.4333,27.18,71,17,8.64,PF,1688843456
324,sisimiut,66.9395,-53.6735,11.0,79,100,1.9,GL,1688843489
325,ungsang-nodongjagu,42.3578,130.4622,17.44,98,66,0.87,KP,1688843745
326,dadeldhura,29.2984,80.5806,16.85,96,100,0.95,NP,1688843745
327,khorramabad,33.4878,48.3558,28.79,18,0,4.12,IR,1688843746
328,le vauclin,14.5452,-60.8388,29.36,79,75,5.66,MQ,1688843746
329,galle,6.0367,80.217,26.06,89,80,3.23,LK,1688843747
330,sawakin,19.1059,37.3321,32.55,50,15,3.52,SD,1688843748
331,dudinka,69.4058,86.1778,14.79,86,100,2.59,RU,1688843748
332,filipstad,59.7124,14.1683,18.32,67,80,0.26,SE,1688843749
333,parvatsar,26.8833,74.7667,29.01,72,54,3.1,IN,1688843749
334,hawera,-39.5917,174.2833,12.91,93,100,4.02,NZ,1688843750
335,moletai,55.2333,25.4167,14.78,81,12,1.83,LT,1688843751
336,tolanaro,-25.0319,46.9987,20.09,89,1,5.47,MG,1688843452
337,santana,-0.0583,-51.1817,30.1,70,20,2.57,BR,1688843688
338,coquimbo,-29.9533,-71.3436,15.85,72,0,5.66,CL,1688843517
339,holualoa,19.6228,-155.9522,25.31,82,20,3.09,US,1688843649
340,kalabo,-14.97,22.6814,15.95,31,0,2.32,ZM,1688843753
341,sechura,-5.5569,-80.8222,27.45,58,55,4.05,PE,1688843489
342,barcelos,41.5388,-8.6151,21.08,71,1,2.52,PT,1688843754
343,chop,48.432,22.2055,19.24,61,0,3.07,UA,1688843469
344,dryden,49.7833,-92.7503,19.16,42,40,3.09,CA,1688843184
345,conduaga,8.862,117.4893,25.9,85,100,0.9,PH,1688843755
346,carutapera,-1.195,-46.02,26.96,87,2,3.53,BR,1688843551
347,djibouti,11.5,42.5,34.0,34,52,1.58,DJ,1688843756
348,nuuk,64.1835,-51.7216,13.34,62,20,3.09,GL,1688843528
349,sicuani,-14.2694,-71.2261,18.47,21,5,2.68,PE,1688843757
350,belem de sao francisco,-8.7539,-38.9658,29.92,46,97,6.23,BR,1688843759
351,isangel,-19.55,169.2667,21.4,83,9,3.72,VU,1688843759
352,yamada,39.4667,141.95,20.11,96,100,1.16,JP,1688843760
353,aykhal,66.0,111.5,13.99,70,74,2.82,RU,1688843516
354,nikolayevsk-on-amure,53.1406,140.73,16.93,97,94,1.19,RU,1688843479
355,mehtar lam,34.6714,70.2094,28.75,46,18,1.48,AF,1688843762
356,batang,-6.4846,110.7083,25.33,82,100,2.16,ID,1688843763
357,dolores,-36.3132,-57.6792,11.03,58,93,4.29,AR,1688843765
358,khuzdar,27.7384,66.6434,27.58,54,100,2.08,PK,1688843766
359,susuman,62.7833,148.1667,14.5,70,100,4.72,RU,1688843492
360,malango,-2.9627,119.9001,17.96,91,23,0.86,ID,1688843767
361,neijiang,29.5835,105.0622,25.71,83,100,0.8,CN,1688843767
362,poso,-1.3959,120.7524,24.57,76,41,2.49,ID,1688843768
363,haiku-pauwela,20.9219,-156.3051,25.14,77,40,8.23,US,1688843470
364,yankton,42.8711,-97.3973,25.06,56,75,2.57,US,1688843769
365,astrakhan,46.3497,48.0408,28.93,62,0,4.02,RU,1688843769
